Player,Offensive Archetype,Defensive Role
LaMelo Ball,Primary Ball Handler,Low Activity
Landry Shamet,Movement Shooter,Chaser
Larry Nance Jr.,Stretch Big,Mobile Big
Lauri Markkanen,Off Screen Shooter,Wing Stopper
Leaky Black,Low Minute,Low Activity
LeBron James,Shot Creator,Helper
Leonard Miller,Stationary Shooter,Helper
Liam McNeeley,Movement Shooter,Low Activity
Lindy Waters III,Movement Shooter,Low Activity
Lonzo Ball,Movement Shooter,Chaser
Luguentz Dort,Stationary Shooter,Point of Attack
Luka Dončić,Shot Creator,Helper
Luka Garza,Stretch Big,Mobile Big
Luke Kennard,Off Screen Shooter,Low Activity
Luke Kornet,Roll + Cut Big,Anchor Big
Luke Travers,Movement Shooter,Low Activity
Mac McClung,Low Minute,Point of Attack
Malaki Branham,Secondary Ball Handler,Low Activity
Malevy Leons,Low Minute,Point of Attack
Malik Monk,Secondary Ball Handler,Low Activity
Marcus Sasser,Secondary Ball Handler,Low Activity
Marcus Smart,Primary Ball Handler,Point of Attack
MarJon Beauchamp,Low Minute,Chaser
Mark Sears,Low Minute,Point of Attack
Mark Williams,Roll + Cut Big,Mobile Big
Marvin Bagley III,Roll + Cut Big,Mobile Big
Mason Plumlee,Roll + Cut Big,Anchor Big
Matas Buzelis,Movement Shooter,Helper
Matisse Thybulle,Movement Shooter,Chaser
Max Christie,Movement Shooter,Wing Stopper
Maxi Kleber,Athletic Finisher,Mobile Big
Maxime Raynaud,Roll + Cut Big,Mobile Big
Max Shulga,Low Minute,Point of Attack
Micah Peavy,Movement Shooter,Point of Attack
Micah Potter,Stretch Big,Mobile Big
Michael Porter Jr.,Off Screen Shooter,Helper
Mikal Bridges,Movement Shooter,Point of Attack
Mike Conley,Primary Ball Handler,Point of Attack
