Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE
193,Javonte Green,32,DET,SG,71,5,1259,0.595,14.7,1.5,2.3,3.8,0.145,-0.8,2.3,1.5,1.1,0.732394366,0.231794714,23.55336705,23553367.05
205,Sam Merrill,29,CLE,SG,46,34,1210,0.663,16.9,2.7,0.8,3.5,0.137,1.5,-1,0.6,0.8,0.625,0.226737843,23.42028214,23420282.14
89,Jaylon Tyson,23,CLE,SG,64,40,1727,0.614,18.9,2.4,1.6,4.1,0.114,0.7,-0.5,0.2,0.9,0.625,0.223517437,23.28719723,23287197.23
243,Jaxson Hayes,25,LAL,C,60,8,1058,0.746,12.3,3.2,1,4.2,0.188,0.4,0.3,0.7,0.7,0.638888889,0.213637108,23.15411232,23154112.32
182,Alex Sarr,20,WAS,C,47,47,1282,0.546,25.8,0.8,0.9,1.7,0.065,1.1,-0.1,0.9,0.9,0.225352113,0.20247946,23.02102742,23021027.42
85,Devin Vassell,25,SAS,SG,57,55,1745,0.575,18.2,1.9,2.1,4,0.111,0.1,0.2,0.4,1,0.75,0.200892207,22.88794251,22887942.51
67,Jaime Jaquez Jr.,24,MIA,SF,65,1,1849,0.56,21.9,1.6,2,3.6,0.094,-0.2,0.3,0.1,1,0.527777778,0.198010198,22.7548576,22754857.6
237,Marvin Bagley III,26,2TM,PF,54,10,1075,0.654,18.4,2.5,0.7,3.2,0.142,1.3,-1.1,0.2,0.6,,0.194921159,22.62177269,22621772.69
144,Ivica Zubac,28,2TM,C,48,47,1446,0.622,19.3,2.7,1.5,4.2,0.139,0.7,-1,-0.3,0.6,,0.193113252,22.48868778,22488687.78
237,Marvin Bagley III,26,WAS,PF,38,8,731,0.667,19,1.9,0.3,2.2,0.143,1.9,-1.1,0.8,0.5,0.225352113,0.192015343,22.35560287,22355602.87
24,Ryan Rollins,23,MIL,PG,69,62,2218,0.58,23.7,1.5,1.8,3.3,0.071,0.4,-0.4,0,1.1,0.408450704,0.189453117,22.22251797,22222517.97
225,Daniel Gafford,27,DAL,C,51,40,1119,0.684,15.5,2.3,1.6,3.9,0.166,-0.6,1.2,0.6,0.7,0.319444444,0.187655117,22.08943306,22089433.06
270,Alex Caruso,31,OKC,SG,49,0,902,0.538,15.9,0.3,2,2.3,0.124,-1.3,3.5,2.1,0.9,0.791666667,0.181925683,21.95634815,21956348.15
238,Darius Garland,26,2TM,PG,36,34,1067,0.589,27.1,1.7,0.7,2.3,0.106,2.4,-2.5,-0.1,0.5,,0.180494955,21.82326324,21823263.24
266,Al Horford,39,GSW,C,43,12,933,0.554,16.5,0.8,1.3,2.1,0.109,0.3,1.4,1.8,0.9,0.472222222,0.178651979,21.69017833,21690178.33
341,Thomas Bryant,28,CLE,C,54,0,618,0.626,19,1.3,0.8,2.2,0.168,1.1,-0.4,0.7,0.4,0.625,0.174918779,21.55709343,21557093.43
