Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
514,Dario Šarić,31,SAC,C,5,0,41,0.7,.363,.500,.333,2.6,14.0,8.1,5.8,0.0,0.0,22.5,9.2,-0.1,0.0,-0.1,-0.080,-6.8,-2.3,-9.0,-0.1,,saricda01
515,Skal Labissière,29,WAS,PF,3,0,38,16.4,.650,.500,.000,8.3,17.0,12.6,11.2,2.5,2.3,9.1,12.1,0.1,0.0,0.1,.124,-0.1,0.3,0.2,0.0,,labissk01
516,Charles Bassey,25,2TM,C,3,0,36,13.9,.436,.000,.333,20.9,24.2,22.5,7.2,1.3,5.2,8.8,13.1,0.0,0.0,0.1,.094,-2.2,-0.6,-2.8,0.0,,bassech01
516,Charles Bassey,25,MEM,C,2,0,31,12.7,.376,.000,.375,24.2,28.1,26.2,8.4,1.5,3.0,9.7,13.8,0.0,0.0,0.1,.079,-3.0,-1.4,-4.4,0.0,,bassech01
516,Charles Bassey,25,PHI,C,1,0,5,21.4,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,18.7,0.0,8.5,0.0,0.0,0.0,.190,2.9,4.0,6.9,0.0,,bassech01
517,Grant Nelson,23,BRK,PF,4,0,35,17.7,.634,.000,1.111,3.2,17.4,10.0,22.3,1.4,13.1,23.0,21.7,0.0,0.1,0.1,.099,-2.4,4.7,2.3,0.0,,nelsogr02
518,Tristan Enaruna,24,CLE,SF,6,0,34,9.8,.395,.313,.063,16.1,12.9,14.5,12.3,1.4,0.0,10.8,22.8,-0.1,0.0,0.0,-0.030,-4.5,-3.3,-7.8,-0.1,,enarutr01
519,Bez Mbeng,22,UTA,,1,0,34,4.8,.250,.375,.000,9.5,3.3,6.4,14.6,2.8,5.8,27.3,13.4,-0.1,0.0,-0.1,-0.120,-6.5,-1.1,-7.6,0.0,,mbengbe01
520,Emanuel Miller,25,CHI,PF,5,0,33,15.2,.540,.462,.154,3.3,6.4,4.8,17.5,2.9,0.0,0.0,17.7,0.1,0.0,0.1,.114,1.7,0.9,2.6,0.0,,milleem01
521,Jahmyl Telfort,24,LAC,PF,8,0,32,-5.4,.087,1.000,1.000,0.0,10.6,5.5,3.8,1.6,0.0,14.8,9.4,-0.1,0.0,-0.1,-0.164,-12.1,-1.7,-13.8,-0.1,,telfoja01
