,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
104,Keldon Johnson,26,SAS,SF,66,0,1538,.529,10.8,.657,.343,.299,.010,.005,.343,.608,.670,.549,.167,.667,.378,.576,.899,.044,25,.507,.358,0,0,,johnske04
105,Dillon Brooks,30,PHO,SF,50,50,1530,.440,16.5,.608,.090,.178,.234,.107,.392,.502,.718,.503,.471,.387,.343,.282,.778,.006,4,.147,.280,0,0,,brookdi01
106,Moussa Diabaté,24,CHO,C,59,33,1526,.628,3.1,.993,.628,.326,.030,.010,.007,.629,.735,.480,.111,.333,.500,.649,1.000,.306,82,.500,1.000,0,0,,diabamo01
107,Ayo Dosunmu,26,2TM,SG,58,10,1521,.515,12.1,.613,.388,.180,.032,.013,.387,.565,.639,.398,.579,.625,.435,.529,.931,.022,10,.302,.443,1,1,,dosunay01
107,Ayo Dosunmu,26,CHI,SG,45,10,1187,.514,12.0,.603,.407,.173,.016,.006,.397,.556,.636,.393,.375,.333,.451,.497,.920,.027,10,.316,.459,1,1,,dosunay01
107,Ayo Dosunmu,26,MIN,SG,13,0,334,.518,12.2,.658,.307,.211,.096,.044,.342,.600,.657,.417,.727,.800,.359,.644,1.000,.000,0,.231,.333,0,0,,dosunay01
108,Jerami Grant,31,POR,PF,51,32,1515,.452,14.5,.533,.237,.205,.063,.028,.467,.509,.684,.418,.220,.333,.387,.463,.992,.043,25,.377,.426,0,0,,grantje01
109,Zion Williamson,25,NOP,PF,51,44,1513,.588,3.7,.994,.569,.377,.043,.004,.006,.590,.731,.398,.467,.000,.250,.495,1.000,.101,65,.000,,0,0,,willizi01
110,Kyle Filipowski,22,UTA,C,66,30,1510,.495,11.2,.664,.251,.361,.043,.008,.336,.571,.688,.527,.318,.250,.345,.684,.966,.096,44,.462,.329,0,0,,filipky01
111,Cam Spencer,25,MEM,SG,63,17,1510,.480,19.5,.416,.068,.110,.145,.092,.584,.531,.588,.527,.528,.500,.443,.445,.752,.000,0,.103,.500,0,0,,spencca01
