,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
426,Cameron Payne,31,PHI,PG,12,1,199,.397,19.8,.321,.128,.154,.038,.000,.679,.520,.600,.417,.667,,.340,.231,.389,.000,0,.038,.500,0,0,,payneca01
427,Jordan McLaughlin,29,SAS,PG,33,0,196,.393,15.3,.475,.246,.164,.066,.000,.525,.414,.600,.200,.250,,.375,.250,.833,.000,0,.406,.308,0,0,,mclaujo01
428,Garrison Mathews,29,IND,SG,15,1,196,.404,23.3,.115,.058,.038,.019,.000,.885,.667,.333,1.000,1.000,,.370,1.000,1.000,.000,0,.370,.471,0,0,,mathega01
429,Nigel Hayes-Davis,31,PHO,SF,27,0,195,.326,14.9,.652,.087,.283,.239,.043,.348,.433,.500,.538,.364,.000,.125,.385,1.000,.000,0,.188,.000,0,0,,hayesni01
430,DaRon Holmes,23,DEN,PF,19,6,194,.500,19.7,.268,.161,.071,.036,.000,.732,.667,.667,.500,1.000,,.439,1.000,1.000,.143,6,.195,.625,0,0,,holmeda01
431,Chaz Lanier,24,DET,SG,24,0,191,.338,22.8,.231,.031,.031,.062,.108,.769,.400,.500,.000,.750,.286,.320,.667,.938,.000,0,.220,.182,0,0,,laniech01
432,JD Davison,23,HOU,PG,25,0,184,.389,17.3,.481,.037,.241,.185,.019,.519,.500,1.000,.462,.400,1.000,.286,.385,1.000,.000,0,.214,.000,0,0,,davisjd01
433,Zach Collins,28,CHI,C,10,0,184,.578,10.8,.672,.422,.156,.078,.016,.328,.651,.778,.400,.400,1.000,.429,.821,1.000,.016,1,.429,.556,0,0,,colliza01
434,Keshad Johnson,24,MIA,SF,24,0,183,.420,12.1,.580,.391,.159,.014,.014,.420,.500,.630,.091,1.000,1.000,.310,.650,.889,.188,11,.379,.364,0,0,,johnske10
435,Matisse Thybulle,28,POR,SG,15,0,180,.423,17.2,.346,.212,.135,.000,.000,.654,.389,.545,.143,,,.441,.571,1.000,.000,0,.441,.267,0,0,,thybuma01
436,Drew Timme,25,LAL,PF,21,0,179,.588,13.3,.627,.235,.216,.157,.020,.373,.688,.833,.545,.750,.000,.421,.591,1.000,.000,0,.316,.500,0,0,,timmedr01
437,RayJ Dennis,24,3TM,PG,15,0,177,.301,21.1,.466,.123,.192,.123,.027,.534,.294,.333,.286,.333,.000,.308,.600,.750,.000,0,.154,.000,0,0,,dennira01
437,RayJ Dennis,24,IND,PG,13,0,168,.306,17.5,.472,.125,.194,.125,.028,.528,.294,.333,.286,.333,.000,.316,.600,.750,.000,0,.158,.000,0,0,,dennira01
437,RayJ Dennis,24,LAC,PG,1,0,4,,,,,,,,,,,,,,,,,,0,,,0,0,,dennira01
437,RayJ Dennis,24,ATL,PG,1,0,5,.000,24.7,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,dennira01
438,Chris Youngblood,23,OKC,SG,32,0,174,.333,23.0,.150,.033,.067,.033,.017,.850,.444,1.000,.250,.500,.000,.314,.750,1.000,.000,0,.255,.308,0,0,,youngch01
439,Blake Hinson,26,UTA,SF,8,1,167,.482,20.3,.250,.089,.107,.036,.018,.750,.571,.600,.667,.500,.000,.452,.750,1.000,.036,1,.429,.556,0,0,,hinsobl01
440,Obi Toppin,27,IND,PF,10,3,164,.397,16.7,.456,.176,.147,.103,.029,.544,.613,.667,.700,.571,.000,.216,.579,1.000,.103,5,.243,.333,0,0,,toppiob01
441,DeAndre Jordan,37,NOP,C,10,6,163,.696,1.9,1.000,.783,.174,.043,.000,.000,.696,.833,.250,.000,,,.563,,.304,7,,,0,0,,jordade01
442,Hunter Tyson,25,DEN,PF,21,2,162,.269,18.1,.365,.135,.173,.019,.038,.635,.368,.714,.111,.000,.500,.212,.714,.857,.038,2,.212,.000,0,0,,tysonhu01
443,Jonathan Mogbo,24,TOR,PF,27,0,160,.517,3.4,1.000,.483,.448,.069,.000,.000,.517,.500,.538,.500,,,.733,,.207,3,,,0,0,,mogbojo01
444,Leaky Black,26,WAS,SF,5,2,159,.462,17.5,.487,.128,.077,.231,.051,.513,.526,.400,.667,.444,1.000,.400,.500,.875,.051,1,.450,.556,0,0,,blackle01
445,Jamal Cain,26,ORL,SF,23,0,154,.388,15.7,.531,.184,.163,.122,.061,.469,.385,.444,.250,.500,.333,.391,.700,.889,.041,2,.565,.385,0,0,,cainja01
446,Walker Kessler,24,UTA,C,5,5,154,.703,7.5,.784,.459,.324,.000,.000,.216,.690,.647,.750,,,.750,.600,1.000,.270,9,.250,1.000,0,0,,kesslwa01
447,Lachlan Olbrich,22,CHI,C,24,0,153,.433,9.8,.733,.367,.333,.000,.033,.267,.500,.455,.500,,1.000,.250,.818,1.000,.000,0,.250,.000,0,0,,olbrila01
448,Doug McDermott,34,SAC,SF,15,0,153,.380,25.1,.040,.020,.020,.000,.000,.960,.500,1.000,.000,,,.375,1.000,1.000,.040,1,.229,.636,0,0,,mcderdo01
449,Oscar Tshiebwe,26,UTA,C,12,1,153,.625,3.7,1.000,.550,.425,.025,.000,.000,.625,.727,.471,1.000,,,.640,,.100,4,,,0,0,,tshieos01
450,Killian Hayes,24,SAC,PG,9,1,146,.260,17.3,.540,.040,.220,.200,.080,.460,.296,1.000,.273,.300,.000,.217,.375,.600,.000,0,.174,.000,0,0,,hayeski01
451,Xavier Tillman Sr.,27,2TM,C,22,1,143,.421,11.7,.553,.263,.263,.026,.000,.447,.619,.700,.500,1.000,,.176,.692,1.000,.026,0,.294,.000,0,0,,tillmxa01
451,Xavier Tillman Sr.,27,BOS,C,14,1,111,.452,14.3,.516,.194,.290,.032,.000,.484,.688,.833,.556,1.000,,.200,.727,1.000,.000,0,.333,.000,0,0,,tillmxa01
451,Xavier Tillman Sr.,27,CHO,C,8,0,32,.286,9.1,.714,.571,.143,.000,.000,.286,.400,.500,.000,,,.000,.500,,.143,0,.000,,0,0,,tillmxa01
452,Jeff Green,39,HOU,PF,25,0,134,.415,19.7,.321,.132,.113,.057,.019,.679,.588,.571,.833,.333,.000,.333,.600,.917,.019,1,.306,.364,0,0,,greenje02
453,Miles Kelly,23,DAL,PG,14,0,134,.364,20.1,.250,.091,.068,.023,.068,.750,.545,.750,.333,.000,.667,.303,.833,.900,.000,0,.606,.450,0,0,,kellymi02
454,Mason Plumlee,35,2TM,C,16,2,133,.750,1.4,1.000,.833,.167,.000,.000,.000,.750,.900,.000,,,,.889,,.333,4,,,0,0,,plumlma01
454,Mason Plumlee,35,CHO,C,14,2,125,.750,1.4,1.000,.833,.167,.000,.000,.000,.750,.900,.000,,,,.889,,.333,4,,,0,0,,plumlma01
454,Mason Plumlee,35,SAS,C,2,0,8,,,,,,,,,,,,,,,,,,0,,,0,0,,plumlma01
455,Kevin McCullar Jr.,24,NYK,SF,19,0,127,.382,14.8,.500,.324,.118,.000,.059,.500,.412,.545,.250,,.000,.353,.857,.833,.000,0,.353,.333,0,0,,mcculke01
456,Julian Reese,22,WAS,PF,4,3,124,.550,3.8,1.000,.500,.450,.050,.000,.000,.550,.800,.333,.000,,,.545,,.100,2,,,0,0,,reeseju01
457,Bradley Beal,32,LAC,SG,6,6,121,.375,16.1,.604,.125,.146,.208,.125,.396,.379,.500,.571,.200,.333,.368,.727,1.000,.000,0,.211,.250,0,0,,bealbr01
458,Amari Williams,24,BOS,PF,18,2,119,.438,3.7,1.000,.438,.500,.063,.000,.000,.438,.857,.125,.000,,,1.000,,.188,3,,,0,0,,william01
459,Dereck Lively II,21,DAL,C,7,4,115,.611,2.0,1.000,.778,.222,.000,.000,.000,.611,.643,.500,,,,.727,,.444,8,,,0,0,,livelde01
460,A.J. Lawson,25,TOR,SG,14,0,110,.390,14.4,.463,.268,.195,.000,.000,.537,.421,.545,.250,,,.364,.875,1.000,.049,1,.591,.385,0,0,,lawsoaj01
461,Bismack Biyombo,33,SAS,C,19,1,108,.667,2.7,1.000,.667,.333,.000,.000,.000,.667,.833,.333,,,,.833,,.556,5,,,0,0,,biyombi01
462,Adou Thiero,21,LAL,SF,19,0,104,.476,4.0,.952,.571,.381,.000,.000,.048,.500,.583,.375,,,.000,.800,,.286,5,.000,,0,0,,thierad01
463,Luke Travers,24,CLE,SG,12,0,103,.250,12.7,.556,.361,.167,.000,.028,.444,.400,.462,.333,,.000,.063,.625,1.000,.056,2,.250,.250,0,0,,travelu01
464,Alijah Martin,24,TOR,SG,16,0,102,.353,13.9,.588,.235,.206,.147,.000,.412,.450,.625,.571,.000,,.214,.556,1.000,.029,1,.286,.000,0,0,,martial01
465,Yuki Kawamura,24,CHI,PG,9,0,102,.300,22.0,.200,.150,.000,.050,.000,.800,.250,.333,,.000,,.313,1.000,1.000,.000,0,.125,.500,0,0,,kawamyu01
466,LJ Cryer,24,GSW,PG,8,0,102,.450,23.2,.175,.000,.050,.050,.075,.825,.571,,1.000,.500,.333,.424,.750,.857,.000,0,.242,.125,0,0,,cryerlj01
467,Malevy Leons,26,GSW,SF,13,0,101,.423,11.2,.654,.346,.269,.000,.038,.346,.529,.778,.286,,.000,.222,.556,1.000,.077,2,.778,.143,0,0,,leonsma01
468,Alondes Williams,26,WAS,SG,4,0,101,.615,15.6,.462,.385,.038,.000,.038,.538,.917,1.000,1.000,,.000,.357,.727,1.000,.192,5,.286,.250,0,0,,willial06
469,Javonte Cooke,26,POR,SG,19,0,94,.220,16.6,.439,.171,.244,.024,.000,.561,.333,.286,.400,.000,,.130,.500,.667,.024,1,.217,.000,0,0,,cookeja01
470,Chris Boucher,33,BOS,PF,9,0,94,.320,16.8,.400,.240,.120,.000,.040,.600,.600,.833,.333,,.000,.133,.667,1.000,.040,1,.200,.000,0,0,,bouchch01
471,Joe Ingles,38,MIN,SF,22,0,90,.444,18.0,.333,.222,.111,.000,.000,.667,.667,.500,1.000,,,.333,.500,1.000,.000,0,.167,1.000,0,0,,inglejo01
472,Kobe Bufkin,22,LAL,SG,11,1,90,.289,17.6,.474,.132,.237,.000,.105,.526,.444,1.000,.333,,.000,.150,.375,.667,.000,0,.250,.200,0,0,,bufkiko01
473,Johnny Juzang,24,MIN,SG,21,0,88,.421,19.1,.368,.105,.079,.132,.053,.632,.714,1.000,.333,.600,1.000,.250,.200,.667,.000,0,.375,.222,0,0,,juzanjo01
474,Tolu Smith,25,DET,PF,7,0,88,.476,2.7,1.000,.571,.429,.000,.000,.000,.476,.667,.222,,,,.700,,.143,3,,,0,0,,smithto05
475,Nate Williams,26,GSW,SG,6,0,87,.471,10.8,.647,.294,.324,.029,.000,.353,.500,.900,.182,.000,,.417,.545,.800,.088,2,.833,.400,0,0,,willije02
476,Pacôme Dadiet,20,NYK,SG,23,0,86,.348,20.7,.348,.087,.087,.087,.087,.652,.375,1.000,.500,.000,.000,.333,1.000,1.000,.043,1,.200,.667,0,0,,dadiepa01
477,Thanasis Antetokounmpo,33,MIL,SF,25,0,81,.526,4.9,.895,.526,.368,.000,.000,.105,.588,.700,.429,,,.000,.600,,.316,6,1.000,.000,0,0,,antetth01
478,Jayson Tatum,27,BOS,PF,3,3,81,.393,18.0,.446,.196,.054,.125,.071,.554,.520,.727,.333,.429,.250,.290,.154,.778,.036,1,.065,1.000,0,0,,tatumja01
479,E.J. Liddell,25,BRK,PF,13,0,79,.478,16.8,.435,.130,.217,.087,.000,.565,.700,1.000,.600,.500,,.308,.286,1.000,.043,1,.462,.500,0,0,,liddeej01
480,Kyle Lowry,39,PHI,PG,9,0,76,.250,26.5,.000,.000,.000,.000,.000,1.000,,,,,,.250,,1.000,.000,0,.083,1.000,0,0,,lowryky01
481,Eric Gordon,37,PHI,SG,6,0,74,.571,18.9,.333,.238,.095,.000,.000,.667,.571,.800,.000,,,.571,.750,1.000,.000,0,.143,1.000,0,0,,gordoer01
482,MarJon Beauchamp,25,PHI,SF,4,0,72,.516,16.7,.452,.226,.129,.065,.032,.548,.643,.857,.750,.000,.000,.412,.778,.714,.032,1,.235,.000,0,0,,beaucma01
483,Tyson Etienne,26,BRK,PG,11,0,70,.333,23.7,.111,.037,.037,.000,.037,.889,.000,.000,.000,,.000,.375,,.778,.000,0,.250,.333,0,0,,etienty01
484,Bobi Klintman,22,DET,SF,11,0,69,.308,15.6,.500,.115,.346,.000,.038,.500,.308,.333,.333,,.000,.308,.750,1.000,.038,1,.308,.000,0,0,,klintbo01
485,David Jones García,24,SAS,SF,11,0,68,.520,7.7,.800,.520,.280,.000,.000,.200,.500,.385,.714,,,.600,.100,.667,.040,1,.000,,0,0,,jonesda06
486,Isaiah Crawford,24,HOU,SF,11,0,67,.385,16.3,.385,.308,.000,.077,.000,.615,.600,.500,,1.000,,.250,.667,1.000,.077,1,.750,.333,0,0,,crawfis01
487,Kadary Richmond,24,WAS,SG,3,0,67,.625,9.1,.750,.438,.250,.063,.000,.250,.667,.857,.250,1.000,,.500,.500,1.000,.125,2,.250,.000,0,0,,richmka01
488,Antonio Reeves,25,CHO,SG,9,0,66,.500,18.3,.350,.150,.100,.100,.000,.650,.429,.667,.000,.500,,.538,.667,1.000,.050,1,.462,.667,0,0,,reevean01
489,Monte Morris,30,IND,PG,6,0,65,.350,13.8,.600,.250,.200,.100,.050,.400,.417,.600,.250,.500,.000,.250,.600,1.000,.000,0,.375,.000,0,0,,morrimo01
490,Drew Peterson,26,CHO,PF,6,0,64,.125,20.2,.250,.188,.063,.000,.000,.750,.500,.667,.000,,,.000,.500,,.000,0,.417,.000,0,0,,peterdr01
491,Trey Jemison,26,NYK,C,11,0,61,.571,5.0,1.000,.143,.714,.143,.000,.000,.571,1.000,.600,.000,,,1.000,,.143,1,,,0,0,,jemistr01
492,James Wiseman,24,IND,C,4,1,58,.600,4.6,1.000,.500,.400,.000,.100,.000,.600,.800,.500,,.000,,.667,,.400,4,,,0,0,,wisemja01
493,Patrick Baldwin Jr.,23,3TM,SF,7,0,58,.375,18.1,.438,.188,.250,.000,.000,.563,.429,.333,.500,,,.333,.333,1.000,.063,1,.222,.000,0,0,,baldwpa01
493,Patrick Baldwin Jr.,23,LAC,SF,2,0,12,.750,21.6,.250,.000,.250,.000,.000,.750,1.000,,1.000,,,.667,.000,1.000,.000,0,.000,,0,0,,baldwpa01
493,Patrick Baldwin Jr.,23,PHI,SF,1,0,2,,,,,,,,,,,,,,,,,,0,,,0,0,,baldwpa01
493,Patrick Baldwin Jr.,23,SAC,SF,4,0,44,.250,14.6,.500,.250,.250,.000,.000,.500,.333,.333,.333,,,.167,.500,1.000,.083,1,.333,.000,0,0,,baldwpa01
494,Tyler Burton,25,MEM,SF,2,0,56,.111,18.2,.333,.222,.056,.056,.000,.667,.000,.000,.000,.000,,.167,,1.000,.000,0,.250,.333,0,0,,burtoty01
495,Johni Broome,23,PHI,C,11,0,55,.167,9.0,.792,.333,.333,.125,.000,.208,.211,.375,.125,.000,,.000,.250,,.042,0,.200,.000,0,0,,broomjo01
496,Cody Martin,30,IND,SF,4,0,55,.200,15.5,.500,.100,.300,.100,.000,.500,.400,1.000,.333,.000,,.000,.500,,.100,1,.400,.000,0,0,,martico01
497,Caleb Houstan,23,ATL,SF,12,0,54,.467,20.9,.200,.067,.133,.000,.000,.800,.333,1.000,.000,,,.500,1.000,1.000,.000,0,.250,.667,0,0,,houstca01
498,Wendell Moore Jr.,24,DET,SG,5,0,54,.571,5.8,.857,.286,.571,.000,.000,.143,.667,1.000,.500,,,.000,.500,,.143,1,1.000,.000,0,0,,moorewe01
499,Andersson Garcia,25,UTA,,2,0,54,.364,8.9,.727,.455,.273,.000,.000,.273,.500,.200,1.000,,,.000,.500,,.091,1,.000,,0,0,,garcian01
500,Nikola Topić,20,OKC,PG,5,0,53,.438,12.1,.688,.125,.438,.125,.000,.313,.455,1.000,.286,.500,,.400,.400,1.000,.000,0,.000,,0,0,,topicni01
501,Haywood Highsmith,29,PHO,SF,4,0,53,.500,18.6,.400,.100,.200,.100,.000,.600,.500,1.000,.000,1.000,,.500,1.000,1.000,.000,0,.000,,0,0,,highsha01
502,TyTy Washington Jr.,24,LAC,PG,8,0,52,.571,16.2,.500,.143,.286,.071,.000,.500,.714,1.000,.750,.000,,.429,.400,.667,.071,1,.143,1.000,0,0,,washity02
503,Seth Curry,35,GSW,SG,4,0,51,.588,17.4,.588,.059,.176,.059,.294,.412,.600,1.000,.667,.000,.600,.571,.667,1.000,.000,0,.429,.667,0,0,,curryse01
504,Lawson Lovering,22,MEM,C,2,1,49,.600,2.6,1.000,.500,.500,.000,.000,.000,.600,1.000,.200,,,,.667,,.500,4,,,0,0,,loverla01
505,Keshon Gilbert,22,WAS,PG,3,0,48,.250,13.9,.500,.250,.250,.000,.000,.500,.500,1.000,.000,,,.000,.000,,.000,0,.000,,0,0,,gilbeke01
506,Jahmir Young,25,MIA,PG,10,0,47,.350,12.1,.650,.250,.250,.150,.000,.350,.385,.400,.600,.000,,.286,.600,1.000,.000,0,.286,.500,0,0,,youngja05
507,Chaney Johnson,23,BRK,SF,3,0,47,.625,13.7,.625,.250,.125,.250,.000,.375,.600,.500,1.000,.500,,.667,1.000,1.000,.000,0,.667,.500,0,0,,johnsch06
508,Mac McClung,27,2TM,SG,4,0,47,.360,13.8,.520,.280,.160,.080,.000,.480,.538,.714,.250,.500,,.167,.571,.500,.000,0,.083,.000,0,0,,mccluma01
508,Mac McClung,27,IND,SG,3,0,34,.389,17.3,.444,.222,.167,.056,.000,.556,.625,.750,.333,1.000,,.200,.800,.500,.000,0,.000,,0,0,,mccluma01
508,Mac McClung,27,CHI,SG,1,0,13,.286,10.4,.714,.429,.143,.143,.000,.286,.400,.667,.000,.000,,.000,.000,,.000,0,.500,.000,0,0,,mccluma01
509,Garrett Temple,39,TOR,SG,16,0,46,.125,20.4,.250,.000,.250,.000,.000,.750,.000,,.000,,,.167,,1.000,.000,0,.167,.000,0,0,,templga01
510,Mo Bamba,27,2TM,C,4,0,44,.455,2.8,1.000,.727,.091,.182,.000,.000,.455,.500,.000,.500,,,.800,,.273,3,,,0,0,,bambamo01
510,Mo Bamba,27,TOR,C,2,0,6,.000,2.0,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,,.000,0,,,0,0,,bambamo01
510,Mo Bamba,27,UTA,C,2,0,38,.556,3.7,1.000,.667,.111,.222,.000,.000,.556,.667,.000,.500,,,.800,,.333,3,,,0,0,,bambamo01
511,Isaiah Stevens,25,SAC,PG,3,0,43,.429,8.5,.857,.429,.286,.143,.000,.143,.500,.667,.500,.000,,.000,.667,,.000,0,.000,,0,0,,steveis01
512,Jalen Slawson,26,IND,SF,2,0,43,.273,18.1,.364,.182,.091,.091,.000,.636,.500,1.000,.000,.000,,.143,.000,1.000,.000,0,.286,.000,0,0,,slawsja01
513,Trey Alexander,22,NOP,SG,5,0,42,.667,12.8,.667,.222,.222,.222,.000,.333,.667,.500,.500,1.000,,.667,.500,1.000,.000,0,1.000,.667,0,0,,alexatr01
514,Dario Šarić,31,SAC,C,5,0,41,.167,15.3,.500,.333,.000,.000,.167,.500,.000,.000,,,.000,.333,,1.000,.000,0,.667,.500,0,0,,saricda01
515,Skal Labissière,29,WAS,PF,3,0,38,.600,16.5,.500,.200,.100,.100,.100,.500,1.000,1.000,1.000,1.000,1.000,.200,1.000,1.000,.100,1,.200,.000,0,0,,labissk01
516,Charles Bassey,25,2TM,C,3,0,36,.444,2.8,1.000,.444,.444,.111,.000,.000,.444,.750,.250,.000,,,.750,,.444,3,,,0,0,,bassech01
516,Charles Bassey,25,MEM,C,2,0,31,.375,4.4,1.000,.375,.500,.125,.000,.000,.375,.667,.250,.000,,,.667,,.375,2,,,0,0,,bassech01
516,Charles Bassey,25,PHI,C,1,0,5,1.000,1.2,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,1.000,1,,,0,0,,bassech01
517,Grant Nelson,23,BRK,PF,4,0,35,.556,4.1,1.000,.556,.333,.111,.000,.000,.556,.800,.333,.000,,,1.000,,.333,3,,,0,0,,nelsogr02
518,Tristan Enaruna,24,CLE,SF,6,0,34,.375,10.2,.688,.250,.375,.063,.000,.313,.455,.750,.333,.000,,.200,.600,1.000,.063,1,.600,.000,0,0,,enarutr01
519,Bez Mbeng,22,UTA,,1,0,34,.250,11.9,.625,.125,.375,.125,.000,.375,.400,1.000,.333,.000,,.000,.500,,.000,0,.667,.000,0,0,,mbengbe01
520,Emanuel Miller,25,CHI,PF,5,0,33,.462,15.2,.538,.231,.231,.000,.077,.462,.571,.333,.667,,1.000,.333,1.000,1.000,.000,0,.333,1.000,0,0,,milleem01
521,Jahmyl Telfort,24,LAC,PF,8,0,32,.000,24.1,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.500,.000,0,0,,telfoja01
522,Curtis Jones,24,DEN,SG,6,0,31,.286,18.8,.357,.071,.286,.000,.000,.643,.600,1.000,.500,,,.111,.667,1.000,.000,0,.111,.000,0,0,,jonescu01
523,Hunter Sallis,22,PHI,SG,7,0,26,.600,5.4,1.000,.400,.400,.200,.000,.000,.600,.500,1.000,.000,,,.333,,.000,0,,,0,0,,sallihu01
524,Mark Sears,23,MIL,PG,7,0,26,.462,19.2,.385,.077,.154,.154,.000,.615,.400,1.000,.000,.500,,.500,.000,.750,.000,0,.000,,0,0,,searsma01
525,Chris Mañon,24,LAL,SG,6,0,25,.000,26.1,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,manonch01
526,Orlando Robinson,25,ORL,C,4,1,25,.600,13.0,.600,.400,.200,.000,.000,.400,.667,1.000,.000,,,.500,1.000,1.000,.000,0,.000,,0,0,,robinor01
527,Dalano Banton,26,2TM,PG,5,0,25,.444,6.0,1.000,.333,.444,.222,.000,.000,.444,.667,.000,1.000,,,.250,,.000,0,,,0,0,,bantoda01
527,Dalano Banton,26,LAC,PG,2,0,10,.750,4.6,1.000,.750,.000,.250,.000,.000,.750,.667,,1.000,,,.333,,.000,0,,,0,0,,bantoda01
527,Dalano Banton,26,BOS,PG,3,0,15,.200,7.4,1.000,.000,.800,.200,.000,.000,.200,,.000,1.000,,,.000,,.000,0,,,0,0,,bantoda01
528,Dillon Jones,24,NYK,SF,5,0,24,.200,21.7,.400,.000,.000,.400,.000,.600,.000,,,.000,,.333,,1.000,.000,0,.333,1.000,0,0,,jonesdi01
529,DeJon Jarreau,28,MEM,SG,1,0,24,.333,12.3,.667,.333,.167,.167,.000,.333,.500,1.000,.000,.000,,.000,.000,,.000,0,.000,,0,0,,jarrede01
530,Isaac Jones,25,2TM,PF,5,1,24,.600,11.7,.600,.600,.000,.000,.000,.400,1.000,1.000,,,,.000,.333,,.200,1,.500,.000,0,0,,jonesis01
530,Isaac Jones,25,SAC,PF,3,1,17,.500,14.0,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,.000,.000,,.000,0,.000,,0,0,,jonesis01
530,Isaac Jones,25,DET,PF,2,0,7,.667,9.3,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000,.500,,.333,1,1.000,.000,0,0,,jonesis01
531,Koby Brea,23,PHO,SG,5,0,23,.556,22.4,.222,.111,.000,.111,.000,.778,.500,1.000,,.000,,.571,.000,1.000,.000,0,.143,1.000,0,0,,breako01
532,Brandon Clarke,29,MEM,PF,2,2,20,.333,4.1,1.000,.556,.444,.000,.000,.000,.333,.400,.250,,,,.667,,.000,0,,,0,0,,clarkbr01
533,Riley Minix,25,2TM,SF,5,0,19,.667,12.6,.556,.444,.111,.000,.000,.444,1.000,1.000,1.000,,,.250,.200,1.000,.111,1,.250,1.000,0,0,,minixri01
533,Riley Minix,25,SAS,SF,3,0,8,.667,13.1,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,.333,.333,1.000,.167,1,.333,1.000,0,0,,minixri01
533,Riley Minix,25,CLE,SF,2,0,11,.667,12.0,.667,.333,.333,.000,.000,.333,1.000,1.000,1.000,,,.000,.000,,.000,0,.000,,0,0,,minixri01
534,Harrison Ingram,23,SAS,SF,5,0,17,.800,7.5,.800,.600,.200,.000,.000,.200,.750,1.000,.000,,,1.000,.667,1.000,.000,0,.000,,0,0,,ingraha01
535,Jacob Toppin,25,ATL,SF,5,0,17,.667,4.8,1.000,.500,.167,.333,.000,.000,.667,1.000,.000,.500,,,.500,,.500,3,,,0,0,,toppija01
536,Chris Livingston,22,CLE,SF,3,0,17,.571,11.7,.571,.429,.143,.000,.000,.429,1.000,1.000,1.000,,,.000,.750,,.000,0,1.000,.000,0,0,,livinch01
537,Buddy Boeheim,26,OKC,SF,4,0,15,.333,24.8,.000,.000,.000,.000,.000,1.000,,,,,,.333,,1.000,.000,0,.667,.500,0,0,,boehebu01
538,N'Faly Dante,24,ATL,C,4,0,15,.250,4.3,1.000,.500,.250,.250,.000,.000,.250,.500,.000,.000,,,1.000,,.250,1,,,0,0,,nfalyda01
539,Norchad Omier,24,LAC,PF,3,0,14,.800,9.9,.800,.400,.200,.200,.000,.200,1.000,1.000,1.000,1.000,,.000,1.000,,.200,1,.000,,0,0,,omierno01
540,Rocco Zikarsky,19,MIN,C,3,0,14,1.000,3.9,1.000,.500,.500,.000,.000,.000,1.000,1.000,1.000,,,,1.000,,.000,0,,,0,0,,zikarro01
541,John Poulakidas,22,DAL,SG,1,0,14,.000,20.4,.500,.000,.000,.500,.000,.500,.000,,,.000,,.000,,,.000,0,.000,,0,0,,poulajo01
542,Chucky Hepburn,22,TOR,PG,2,0,13,.000,23.0,.167,.000,.000,.167,.000,.833,.000,,,.000,,.000,,,.000,0,.000,,0,0,,hepbuch01
543,Vladislav Goldin,24,MIA,C,4,0,12,.667,1.0,1.000,1.000,.000,.000,.000,.000,.667,.667,,,,,1.000,,.333,1,,,0,0,,goldivl01
544,David Roddy,24,DEN,PF,2,0,12,.000,25.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.333,.000,0,0,,roddyda01
545,Taj Gibson,40,MEM,C,1,0,12,.200,10.9,.600,.200,.400,.000,.000,.400,.000,.000,.000,,,.500,,1.000,.000,0,1.000,.500,0,0,,gibsota01
546,John Tonje,24,BOS,SG,3,0,11,.000,26.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,tonjejo01
547,Tosan Evbuomwan,24,NYK,SF,5,0,8,.000,6.2,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,,evbuoto01
548,Enrique Freeman,25,MIN,PF,2,0,8,,,,,,,,,,,,,,,,,,0,,,0,0,,freemen01
549,Stanley Umude,26,SAS,SG,2,0,7,.500,16.4,.500,.000,.500,.000,.000,.500,1.000,,1.000,,,.000,1.000,,.000,0,1.000,.000,0,0,,umudest01
550,Colby Jones,23,DET,SG,1,0,7,.333,16.9,.333,.000,.333,.000,.000,.667,1.000,,1.000,,,.000,.000,,.000,0,1.000,.000,0,0,,jonesco02
551,Noa Essengue,19,CHI,PF,2,0,6,.000,16.9,.333,.333,.000,.000,.000,.667,.000,.000,,,,.000,,,.000,0,.500,.000,0,0,,essenno01
552,Trentyn Flowers,20,CHI,SF,2,0,6,.667,8.3,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000,.500,,.333,1,1.000,.000,0,0,,flowetr01
553,Sean Pedulla,23,LAC,PG,1,0,6,.500,27.2,.000,.000,.000,.000,.000,1.000,,,,,,.500,,1.000,.000,0,.000,,0,0,,pedulse01
