Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,VALUE,AAV,ACE
78,John Collins,28,LAC,PF,59,49,1625,0.648,19.3,2.4,1.5,3.9,0.116,0.1,-0.4,-0.4,0.7,0.014395447,16.62601626,16626016.26
63,Isaiah Stewart,24,DET,C,55,13,1273,0.626,16.4,1.9,2,3.9,0.148,-1.1,1.1,0,0.6,0.012651994,16.49051491,16490514.91
49,Jordan Miller,26,LAC,SF,51,1,1106,0.621,18.3,2,0.7,2.8,0.12,0.5,-0.6,-0.1,0.5,0.009067586,16.35501355,16355013.55
230,Simone Fontecchio,30,MIA,SF,64,7,1099,0.566,19.5,1.1,1.2,2.3,0.1,0.3,-0.1,0.2,0.6,0.003996249,16.2195122,16219512.2
48,Naji Marshall,28,DAL,SF,69,42,2046,0.601,20.4,2.6,1.7,4.3,0.102,-0.5,0,-0.4,0.8,0.003167456,16.08401084,16084010.84
156,Cason Wallace,22,OKC,SG,69,56,1863,0.528,14.5,0.7,3.9,4.6,0.119,-2.3,3.3,1,1.4,-0.000769159,15.94850949,15948509.49
96,Wendell Carter Jr.,26,ORL,C,68,68,2012,0.616,15.6,3.2,2.4,5.6,0.135,-0.7,0.5,-0.2,0.9,-0.001530733,15.81300813,15813008.13
68,Jaden McDaniels,25,MIN,PF,70,70,2225,0.616,18.2,2.6,2.6,5.2,0.111,-0.9,0.6,-0.3,1,-0.00705906,15.67750678,15677506.78
91,Justin Champagnie,24,WAS,SF,61,17,1181,0.599,16.3,2.2,0.7,2.9,0.119,0.9,-0.9,0,0.6,-0.016036665,15.54200542,15542005.42
148,Brandin Podziemski,22,GSW,SG,72,33,2037,0.563,19.6,1.9,2.2,4,0.095,-0.3,0,-0.2,0.9,-0.022217201,15.40650407,15406504.07
231,Tim Hardaway Jr.,33,DEN,SG,72,5,1939,0.625,18.8,3.2,0.9,4,0.1,1.4,-2,-0.6,0.7,-0.0228018,15.27100271,15271002.71
245,Sam Hauser,28,BOS,PF,68,40,1665,0.571,14.7,2.2,1.9,4,0.117,0.2,0.1,0.3,0.9,-0.036172197,15.13550136,15135501.36
